Title,Venue,Room,Date,Start Time,End Date,End Time,Priority/Premium,Audience Type,Extended Q&A,Countries,Languages,Programme or Series,Directors,Region Availability
A Man of Reason,Scotiabank Theatre Toronto,Scotiabank 12,Sat Sep 17,20:00,Sat Sep 17,22:13,No,General Public,No,South Korea,Korean,Special Presentations,Jung Woo-sung,
A Man of Reason,Scotiabank Theatre Toronto,Scotiabank 4,Sun Sep 18,09:30,Sun Sep 18,11:43,No,General Public,No,South Korea,Korean,Special Presentations,Jung Woo-sung,
Aftersun,Scotiabank Theatre Toronto,Scotiabank 8,Thu Sep 08,16:00,Thu Sep 08,17:39,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"United Kingdom,United States of America",English,Contemporary World Cinema,Charlotte Wells,
Aftersun,TIFF Bell Lightbox,TIFF Bell Lightbox 3,Mon Sep 12,18:45,Mon Sep 12,20:54,No,General Public,No,"United Kingdom,United States of America",English,Contemporary World Cinema,Charlotte Wells,
Aftersun,Scotiabank Theatre Toronto,Scotiabank 13,Tue Sep 13,15:15,Tue Sep 13,17:24,No,General Public,No,"United Kingdom,United States of America",English,Contemporary World Cinema,Charlotte Wells,
Aftersun,Scotiabank Theatre Toronto,Scotiabank 10,Sat Sep 17,12:15,Sat Sep 17,14:24,No,General Public,No,"United Kingdom,United States of America",English,Contemporary World Cinema,Charlotte Wells,
Alam,Scotiabank Theatre Toronto,Scotiabank 11,Fri Sep 09,19:35,Fri Sep 09,21:54,No,General Public,No,"France,Tunisia,Palestine,Saudi Arabia,Qatar","Arabic, Hebrew",Contemporary World Cinema,Firas Khoury,
Alam,Scotiabank Theatre Toronto,Scotiabank 6,Sat Sep 10,14:10,Sat Sep 10,15:59,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"France,Tunisia,Palestine,Saudi Arabia,Qatar","Arabic, Hebrew",Contemporary World Cinema,Firas Khoury,
Alam,Scotiabank Theatre Toronto,Scotiabank 13,Sun Sep 11,12:10,Sun Sep 11,14:29,No,General Public,No,"France,Tunisia,Palestine,Saudi Arabia,Qatar","Arabic, Hebrew",Contemporary World Cinema,Firas Khoury,
Alam,Scotiabank Theatre Toronto,Scotiabank 10,Thu Sep 15,12:15,Thu Sep 15,14:04,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"France,Tunisia,Palestine,Saudi Arabia,Qatar","Arabic, Hebrew",Contemporary World Cinema,Firas Khoury,
Alam,Scotiabank Theatre Toronto,Scotiabank 10,Fri Sep 16,18:15,Fri Sep 16,20:34,No,General Public,No,"France,Tunisia,Palestine,Saudi Arabia,Qatar","Arabic, Hebrew",Contemporary World Cinema,Firas Khoury,
"Alice, Darling",Roy Thomson Hall,Roy Thomson Hall,Sun Sep 11,21:30,Sun Sep 11,23:29,Yes,General Public,No,"Canada,United States of America",English,Gala Presentations,Mary Nighy,
"Alice, Darling",Scotiabank Theatre Toronto,Scotiabank 4,Mon Sep 12,12:30,Mon Sep 12,13:59,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"Canada,United States of America",English,Gala Presentations,Mary Nighy,
"Alice, Darling",Scotiabank Theatre Toronto,Scotiabank 3,Mon Sep 12,14:55,Mon Sep 12,16:54,No,General Public,No,"Canada,United States of America",English,Gala Presentations,Mary Nighy,
All Quiet on the Western Front,Royal Alexandra Theatre,Royal Alexandra Theatre,Mon Sep 12,16:00,Mon Sep 12,18:57,No,General Public,No,"United States of America,Germany",German,Special Presentations,Edward Berger,
All Quiet on the Western Front,TIFF Bell Lightbox,TIFF Bell Lightbox 4,Tue Sep 13,10:00,Tue Sep 13,12:27,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"United States of America,Germany",German,Special Presentations,Edward Berger,
All Quiet on the Western Front,TIFF Bell Lightbox,TIFF Bell Lightbox 3,Tue Sep 13,22:00,Wed Sep 14,00:57,No,General Public,No,"United States of America,Germany",German,Special Presentations,Edward Berger,
All Quiet on the Western Front,TIFF Bell Lightbox,TIFF Bell Lightbox 2,Fri Sep 16,15:15,Fri Sep 16,18:12,No,General Public,No,"United States of America,Germany",German,Special Presentations,Edward Berger,
All the Beauty and the Bloodshed,Scotiabank Theatre Toronto,Scotiabank 2,Fri Sep 09,08:30,Fri Sep 09,10:27,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,United States of America,English,TIFF Docs,Laura Poitras,
All the Beauty and the Bloodshed,TIFF Bell Lightbox,TIFF Bell Lightbox 1,Mon Sep 12,18:00,Mon Sep 12,20:27,No,General Public,No,United States of America,English,TIFF Docs,Laura Poitras,
All the Beauty and the Bloodshed,Scotiabank Theatre Toronto,Scotiabank 2,Tue Sep 13,15:00,Tue Sep 13,17:27,No,General Public,No,United States of America,English,TIFF Docs,Laura Poitras,
All the Beauty and the Bloodshed,Scotiabank Theatre Toronto,Scotiabank 3,Fri Sep 16,21:30,Fri Sep 16,23:57,No,General Public,No,United States of America,English,TIFF Docs,Laura Poitras,
Allelujah,Royal Alexandra Theatre,Royal Alexandra Theatre,Sat Sep 10,13:30,Sat Sep 10,15:39,No,General Public,No,United Kingdom,English,Special Presentations,Richard Eyre,
Allelujah,Scotiabank Theatre Toronto,Scotiabank 3,Sun Sep 11,11:30,Sun Sep 11,13:39,No,General Public,No,United Kingdom,English,Special Presentations,Richard Eyre,
Allelujah,Scotiabank Theatre Toronto,Scotiabank 12,Sun Sep 11,16:30,Sun Sep 11,18:09,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,United Kingdom,English,Special Presentations,Richard Eyre,
Allelujah,Scotiabank Theatre Toronto,Scotiabank 10,Thu Sep 15,18:15,Thu Sep 15,20:24,No,General Public,No,United Kingdom,English,Special Presentations,Richard Eyre,
Allelujah,Scotiabank Theatre Toronto,Scotiabank 13,Fri Sep 16,09:30,Fri Sep 16,11:09,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,United Kingdom,English,Special Presentations,Richard Eyre,
Amanda,Scotiabank Theatre Toronto,Scotiabank 8,Mon Sep 12,12:00,Mon Sep 12,13:33,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,Italy,Italian,Contemporary World Cinema,Carolina Cavalli,
Amanda,Scotiabank Theatre Toronto,Scotiabank 3,Thu Sep 15,18:00,Thu Sep 15,20:03,No,General Public,No,Italy,Italian,Contemporary World Cinema,Carolina Cavalli,
Amanda,Scotiabank Theatre Toronto,Scotiabank 4,Sat Sep 17,12:30,Sat Sep 17,14:33,No,General Public,No,Italy,Italian,Contemporary World Cinema,Carolina Cavalli,
Aristotle and Dante Discover the Secrets of the Universe,TIFF Bell Lightbox,TIFF Bell Lightbox 1,Fri Sep 09,21:15,Fri Sep 09,23:21,Yes,General Public,No,United States of America,English,Discovery,Aitch Alberto,
Aristotle and Dante Discover the Secrets of the Universe,Scotiabank Theatre Toronto,Scotiabank 11,Sat Sep 10,09:10,Sat Sep 10,10:46,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,United States of America,English,Discovery,Aitch Alberto,
Aristotle and Dante Discover the Secrets of the Universe,Scotiabank Theatre Toronto,Scotiabank 2,Sun Sep 11,15:00,Sun Sep 11,17:06,No,General Public,No,United States of America,English,Discovery,Aitch Alberto,
Aristotle and Dante Discover the Secrets of the Universe,Scotiabank Theatre Toronto,Scotiabank 9,Thu Sep 15,12:45,Thu Sep 15,14:21,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,United States of America,English,Discovery,Aitch Alberto,
Aristotle and Dante Discover the Secrets of the Universe,Scotiabank Theatre Toronto,Scotiabank 9,Thu Sep 15,21:45,Thu Sep 15,23:51,No,General Public,No,United States of America,English,Discovery,Aitch Alberto,
Aristotle and Dante Discover the Secrets of the Universe,digital TIFF Bell Lightbox,digital TIFF Bell Lightbox,Tue Sep 13,10:00,Tue Sep 13,11:36,No,General Public,No,United States of America,English,Discovery,Aitch Alberto,Canada
Autobiography,Scotiabank Theatre Toronto,Scotiabank 14,Fri Sep 09,09:45,Fri Sep 09,11:40,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"Indonesia,France,Singapore,Poland,Philippines,Germany,Qatar",Indonesian,Contemporary World Cinema,Makbul Mubarak,
Autobiography,Scotiabank Theatre Toronto,Scotiabank 13,Mon Sep 12,21:30,Mon Sep 12,23:55,No,General Public,No,"Indonesia,France,Singapore,Poland,Philippines,Germany,Qatar",Indonesian,Contemporary World Cinema,Makbul Mubarak,
Autobiography,Scotiabank Theatre Toronto,Scotiabank 13,Thu Sep 15,17:30,Thu Sep 15,19:55,No,General Public,No,"Indonesia,France,Singapore,Poland,Philippines,Germany,Qatar",Indonesian,Contemporary World Cinema,Makbul Mubarak,
Autobiography,Scotiabank Theatre Toronto,Scotiabank 14,Sun Sep 18,10:00,Sun Sep 18,12:25,No,General Public,No,"Indonesia,France,Singapore,Poland,Philippines,Germany,Qatar",Indonesian,Contemporary World Cinema,Makbul Mubarak,
Baby Ruby,Royal Alexandra Theatre,Royal Alexandra Theatre,Fri Sep 09,13:30,Fri Sep 09,15:29,No,General Public,No,United States of America,English,Discovery,Bess Wohl,
Baby Ruby,Scotiabank Theatre Toronto,Scotiabank 13,Sat Sep 10,12:15,Sat Sep 10,13:44,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,United States of America,English,Discovery,Bess Wohl,
Baby Ruby,Scotiabank Theatre Toronto,Scotiabank 10,Sat Sep 10,21:15,Sat Sep 10,23:14,No,General Public,No,United States of America,English,Discovery,Bess Wohl,
Baby Ruby,Scotiabank Theatre Toronto,Scotiabank 5,Tue Sep 13,09:10,Tue Sep 13,10:39,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,United States of America,English,Discovery,Bess Wohl,
Baby Ruby,Scotiabank Theatre Toronto,Scotiabank 3,Thu Sep 15,21:30,Thu Sep 15,23:29,No,General Public,No,United States of America,English,Discovery,Bess Wohl,
Baby Ruby,Scotiabank Theatre Toronto,Scotiabank 13,Sat Sep 17,12:30,Sat Sep 17,14:29,No,General Public,No,United States of America,English,Discovery,Bess Wohl,
Beyond the Wall,Scotiabank Theatre Toronto,Scotiabank 5,Mon Sep 12,21:40,Mon Sep 12,23:46,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,Iran,Farsi,Contemporary World Cinema,Vahid Jalilvand,
Beyond the Wall,Scotiabank Theatre Toronto,Scotiabank 1,Tue Sep 13,21:00,Tue Sep 13,23:36,No,General Public,No,Iran,Farsi,Contemporary World Cinema,Vahid Jalilvand,
Beyond the Wall,Scotiabank Theatre Toronto,Scotiabank 13,Thu Sep 15,21:00,Thu Sep 15,23:36,No,General Public,No,Iran,Farsi,Contemporary World Cinema,Vahid Jalilvand,
Beyond the Wall,Scotiabank Theatre Toronto,Scotiabank 2,Sat Sep 17,08:30,Sat Sep 17,11:06,No,General Public,No,Iran,Farsi,Contemporary World Cinema,Vahid Jalilvand,
Black Ice,Roy Thomson Hall,Roy Thomson Hall,Sat Sep 10,15:00,Sat Sep 10,17:07,No,General Public,No,Canada,English,Gala Presentations,Hubert Davis,
Black Ice,Scotiabank Theatre Toronto,Scotiabank 14,Sun Sep 11,09:45,Sun Sep 11,11:22,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,Canada,English,Gala Presentations,Hubert Davis,
Black Ice,TIFF Bell Lightbox,TIFF Bell Lightbox 1,Wed Sep 14,21:00,Wed Sep 14,23:07,No,General Public,No,Canada,English,Gala Presentations,Hubert Davis,
"Blind Willow, Sleeping Woman",Scotiabank Theatre Toronto,Scotiabank 12,Fri Sep 09,20:30,Fri Sep 09,22:22,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"France,Luxembourg,Canada,Netherlands",English,Contemporary World Cinema,Pierre Földes,
"Blind Willow, Sleeping Woman",Scotiabank Theatre Toronto,Scotiabank 2,Sun Sep 11,19:30,Sun Sep 11,21:52,No,General Public,No,"France,Luxembourg,Canada,Netherlands",English,Contemporary World Cinema,Pierre Földes,
"Blind Willow, Sleeping Woman",Scotiabank Theatre Toronto,Scotiabank 12,Tue Sep 13,20:00,Tue Sep 13,22:22,No,General Public,No,"France,Luxembourg,Canada,Netherlands",English,Contemporary World Cinema,Pierre Földes,
Blueback,Scotiabank Theatre Toronto,Scotiabank 12,Fri Sep 09,12:05,Fri Sep 09,13:47,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,Australia,English,Special Presentations,Robert Connolly,
Blueback,Scotiabank Theatre Toronto,Scotiabank 9,Sat Sep 10,21:45,Sat Sep 10,23:27,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,Australia,English,Special Presentations,Robert Connolly,
Blueback,Royal Alexandra Theatre,Royal Alexandra Theatre,Fri Sep 16,17:30,Fri Sep 16,19:42,No,General Public,No,Australia,English,Special Presentations,Robert Connolly,
Blueback,TIFF Bell Lightbox,TIFF Bell Lightbox 1,Sat Sep 17,15:00,Sat Sep 17,17:12,No,General Public,No,Australia,English,Special Presentations,Robert Connolly,
Blueback,Scotiabank Theatre Toronto,Scotiabank 10,Sun Sep 18,15:45,Sun Sep 18,17:57,No,General Public,No,Australia,English,Special Presentations,Robert Connolly,
Bones of Crows,Scotiabank Theatre Toronto,Scotiabank 1,Sat Sep 10,17:45,Sat Sep 10,20:22,No,General Public,No,Canada,"English, Cree, ʔayʔajuθəm, Italian",Contemporary World Cinema,Marie Clements,
Bones of Crows,Scotiabank Theatre Toronto,Scotiabank 8,Sun Sep 11,11:40,Sun Sep 11,13:47,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,Canada,"English, Cree, ʔayʔajuθəm, Italian",Contemporary World Cinema,Marie Clements,
Bones of Crows,TIFF Bell Lightbox,TIFF Bell Lightbox 1,Thu Sep 15,11:00,Thu Sep 15,13:37,No,General Public,No,Canada,"English, Cree, ʔayʔajuθəm, Italian",Contemporary World Cinema,Marie Clements,
Broker,TIFF Bell Lightbox,TIFF Bell Lightbox 2,Thu Sep 08,15:15,Thu Sep 08,17:24,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,South Korea,Korean,Special Presentations,Hirokazu Kore-eda,
Broker,Royal Alexandra Theatre,Royal Alexandra Theatre,Tue Sep 13,17:30,Tue Sep 13,20:09,Yes,General Public,No,South Korea,Korean,Special Presentations,Hirokazu Kore-eda,
Broker,Royal Alexandra Theatre,Royal Alexandra Theatre,Wed Sep 14,20:30,Wed Sep 14,23:09,No,General Public,No,South Korea,Korean,Special Presentations,Hirokazu Kore-eda,
Bros,Visa Screening Room at the Princess of Wales Theatre,VISA Screening Room at the Princess of Wales Theatre,Fri Sep 09,21:45,Sat Sep 10,00:10,Yes,General Public,No,United States of America,English,Special Presentations,Nicholas Stoller,
Bros,TIFF Bell Lightbox,TIFF Bell Lightbox 2,Sat Sep 10,09:30,Sat Sep 10,12:15,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,United States of America,English,Special Presentations,Nicholas Stoller,
Bros,TIFF Bell Lightbox,TIFF Bell Lightbox 3,Sat Sep 10,09:35,Sat Sep 10,11:30,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,United States of America,English,Special Presentations,Nicholas Stoller,
Bros,Roy Thomson Hall,Roy Thomson Hall,Sat Sep 10,11:00,Sat Sep 10,13:25,No,General Public,No,United States of America,English,Special Presentations,Nicholas Stoller,
Bros,Scotiabank Theatre Toronto,Scotiabank 1,Sat Sep 17,13:00,Sat Sep 17,15:25,No,General Public,No,United States of America,English,Special Presentations,Nicholas Stoller,
Bros,Visa Screening Room at the Princess of Wales Theatre,VISA Screening Room at the Princess of Wales Theatre,Sat Sep 17,21:30,Sat Sep 17,23:55,No,General Public,No,United States of America,English,Special Presentations,Nicholas Stoller,
Brother,Visa Screening Room at the Princess of Wales Theatre,VISA Screening Room at the Princess of Wales Theatre,Fri Sep 09,18:30,Fri Sep 09,20:59,No,General Public,No,Canada,English,Special Presentations,Clement Virgo,
Brother,Scotiabank Theatre Toronto,Scotiabank 3,Sat Sep 10,08:45,Sat Sep 10,10:44,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,Canada,English,Special Presentations,Clement Virgo,
Brother,TIFF Bell Lightbox,TIFF Bell Lightbox 1,Thu Sep 15,14:45,Thu Sep 15,17:14,No,General Public,No,Canada,English,Special Presentations,Clement Virgo,
Bruiser,Scotiabank Theatre Toronto,Scotiabank 4,Sun Sep 11,15:30,Sun Sep 11,17:37,No,General Public,No,United States of America,English,Discovery,Miles Warren,
Bruiser,Scotiabank Theatre Toronto,Scotiabank 10,Mon Sep 12,11:00,Mon Sep 12,12:37,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,United States of America,English,Discovery,Miles Warren,
Bruiser,Scotiabank Theatre Toronto,Scotiabank 10,Wed Sep 14,15:15,Wed Sep 14,16:52,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,United States of America,English,Discovery,Miles Warren,
Bruiser,Scotiabank Theatre Toronto,Scotiabank 4,Thu Sep 15,20:30,Thu Sep 15,22:37,No,General Public,No,United States of America,English,Discovery,Miles Warren,
Buffy Sainte-Marie: Carry It On,TIFF Bell Lightbox,TIFF Bell Lightbox 1,Thu Sep 08,20:30,Thu Sep 08,22:30,Yes,General Public,No,Canada,English,TIFF Docs,Madison Thomas,
Buffy Sainte-Marie: Carry It On,Scotiabank Theatre Toronto,Scotiabank 13,Fri Sep 09,12:15,Fri Sep 09,13:45,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,Canada,English,TIFF Docs,Madison Thomas,
Buffy Sainte-Marie: Carry It On,Scotiabank Theatre Toronto,Scotiabank 1,Fri Sep 09,17:30,Fri Sep 09,19:30,No,General Public,No,Canada,English,TIFF Docs,Madison Thomas,
Buffy Sainte-Marie: Carry It On,Scotiabank Theatre Toronto,Scotiabank 2,Sat Sep 17,12:00,Sat Sep 17,14:00,No,General Public,No,Canada,English,TIFF Docs,Madison Thomas,
Butcher's Crossing,Roy Thomson Hall,Roy Thomson Hall,Fri Sep 09,21:30,Fri Sep 09,23:45,Yes,General Public,No,United States of America,English,Gala Presentations,Gabe Polsky,
Butcher's Crossing,Scotiabank Theatre Toronto,Scotiabank 2,Sat Sep 10,08:30,Sat Sep 10,10:15,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,United States of America,English,Gala Presentations,Gabe Polsky,
Butcher's Crossing,Scotiabank Theatre Toronto,Scotiabank 1,Sat Sep 10,13:00,Sat Sep 10,15:15,No,General Public,No,United States of America,English,Gala Presentations,Gabe Polsky,
Butcher's Crossing,Scotiabank Theatre Toronto,Scotiabank 3,Wed Sep 14,10:00,Wed Sep 14,11:45,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,United States of America,English,Gala Presentations,Gabe Polsky,
Butcher's Crossing,Scotiabank Theatre Toronto,Scotiabank 1,Sat Sep 17,17:30,Sat Sep 17,19:45,No,General Public,No,United States of America,English,Gala Presentations,Gabe Polsky,
CHARCOAL,Scotiabank Theatre Toronto,Scotiabank 13,Fri Sep 09,15:15,Fri Sep 09,17:02,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"Brazil,Argentina","Portuguese, Spanish",Platform,Carolina Markowicz,
CHARCOAL,TIFF Bell Lightbox,TIFF Bell Lightbox 2,Sun Sep 11,21:45,Mon Sep 12,00:02,No,General Public,No,"Brazil,Argentina","Portuguese, Spanish",Platform,Carolina Markowicz,
CHARCOAL,Scotiabank Theatre Toronto,Scotiabank 10,Tue Sep 13,09:15,Tue Sep 13,11:02,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"Brazil,Argentina","Portuguese, Spanish",Platform,Carolina Markowicz,
CHARCOAL,Scotiabank Theatre Toronto,Scotiabank 9,Tue Sep 13,18:45,Tue Sep 13,21:02,No,General Public,No,"Brazil,Argentina","Portuguese, Spanish",Platform,Carolina Markowicz,
CHARCOAL,Scotiabank Theatre Toronto,Scotiabank 9,Sat Sep 17,18:45,Sat Sep 17,21:02,No,General Public,No,"Brazil,Argentina","Portuguese, Spanish",Platform,Carolina Markowicz,
CONNECTIONS Breaking in and Moving Forward,Canadian Broadcasting Centre,CBC Conference Centre A,Mon Sep 12,15:30,Mon Sep 12,16:30,No,"Buyers Pass,Pro Pass,Digital Talks Pass,Guest",No,,,Industry Conference,,
CONNECTIONS How to Access Telefilm Funding,Canadian Broadcasting Centre,CBC Conference Centre A,Fri Sep 09,13:30,Fri Sep 09,14:30,No,"Buyers Pass,Pro Pass,Digital Talks Pass,Guest",No,,,Industry Conference,,
CONNECTIONS Pathways from Shorts to First Features,Canadian Broadcasting Centre,CBC Conference Centre B,Mon Sep 12,12:30,Mon Sep 12,13:30,No,"Buyers Pass,Pro Pass,Digital Talks Pass,Guest",No,,,Industry Conference,,
CONNECTIONS The ReFrame ReSource,Canadian Broadcasting Centre,CBC Conference Centre A,Fri Sep 09,15:30,Fri Sep 09,16:30,No,"Buyers Pass,Pro Pass,Digital Talks Pass,Guest",No,,,Industry Conference,,
Carmen,TIFF Bell Lightbox,TIFF Bell Lightbox 1,Sun Sep 11,14:30,Sun Sep 11,16:56,No,General Public,No,"Australia,France","English, Spanish",Discovery,Benjamin Millepied,
Carmen,Scotiabank Theatre Toronto,Scotiabank 9,Sun Sep 11,18:45,Sun Sep 11,20:41,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"Australia,France","English, Spanish",Discovery,Benjamin Millepied,
Carmen,Scotiabank Theatre Toronto,Scotiabank 14,Mon Sep 12,13:00,Mon Sep 12,15:26,No,General Public,No,"Australia,France","English, Spanish",Discovery,Benjamin Millepied,
Carmen,Scotiabank Theatre Toronto,Scotiabank 2,Sun Sep 18,15:00,Sun Sep 18,17:26,No,General Public,No,"Australia,France","English, Spanish",Discovery,Benjamin Millepied,
Casa Susanna,Scotiabank Theatre Toronto,Scotiabank 14,Fri Sep 09,21:15,Fri Sep 09,23:22,No,General Public,No,"France,United States of America",English,TIFF Docs,Sébastien Lifshitz,
Casa Susanna,Scotiabank Theatre Toronto,Scotiabank 7,Sat Sep 10,15:10,Sat Sep 10,17:17,No,General Public,No,"France,United States of America",English,TIFF Docs,Sébastien Lifshitz,
Casa Susanna,Scotiabank Theatre Toronto,Scotiabank 5,Sat Sep 10,18:40,Sat Sep 10,20:17,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"France,United States of America",English,TIFF Docs,Sébastien Lifshitz,
Casa Susanna,Scotiabank Theatre Toronto,Scotiabank 14,Fri Sep 16,10:00,Fri Sep 16,12:07,No,General Public,No,"France,United States of America",English,TIFF Docs,Sébastien Lifshitz,
