Title,Venue,Room,Date,Start Time,End Date,End Time,Priority/Premium,Audience Type,Extended Q&A,Countries,Languages,Programme or Series,Directors,Region Availability
1899,TIFF Bell Lightbox,TIFF Bell Lightbox 4,Mon Sep 12,15:00,Mon Sep 12,16:55,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"Germany,United States of America","German, French, Cantonese, Danish, Polish, Spanish, English, Portuguese",Primetime,"Baran bo Odar, Baran bo Odar, Jantje Friese",
1899,TIFF Bell Lightbox,TIFF Bell Lightbox 3,Tue Sep 13,15:30,Tue Sep 13,18:05,No,General Public,No,"Germany,United States of America","German, French, Cantonese, Danish, Polish, Spanish, English, Portuguese",Primetime,"Baran bo Odar, Baran bo Odar, Jantje Friese",
752 Is Not A Number,Scotiabank Theatre Toronto,Scotiabank 6,Fri Sep 09,20:45,Fri Sep 09,22:23,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,Canada,"English, Farsi",TIFF Docs,Babak Payami,
752 Is Not A Number,Scotiabank Theatre Toronto,Scotiabank 13,Sun Sep 11,15:15,Sun Sep 11,17:23,No,General Public,No,Canada,"English, Farsi",TIFF Docs,Babak Payami,
752 Is Not A Number,Scotiabank Theatre Toronto,Scotiabank 5,Thu Sep 15,21:10,Thu Sep 15,22:48,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,Canada,"English, Farsi",TIFF Docs,Babak Payami,
752 Is Not A Number,Scotiabank Theatre Toronto,Scotiabank 3,Sat Sep 17,12:50,Sat Sep 17,14:58,No,General Public,No,Canada,"English, Farsi",TIFF Docs,Babak Payami,
A Gaza Weekend,Scotiabank Theatre Toronto,Scotiabank 3,Sat Sep 10,17:45,Sat Sep 10,19:45,No,General Public,No,"Palestine,United Kingdom","English, Arabic, Hebrew",Discovery,Basil Khalil,
A Gaza Weekend,Scotiabank Theatre Toronto,Scotiabank 5,Mon Sep 12,09:10,Mon Sep 12,10:40,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"Palestine,United Kingdom","English, Arabic, Hebrew",Discovery,Basil Khalil,
A Gaza Weekend,Scotiabank Theatre Toronto,Scotiabank 14,Tue Sep 13,18:00,Tue Sep 13,20:00,No,General Public,No,"Palestine,United Kingdom","English, Arabic, Hebrew",Discovery,Basil Khalil,
A Gaza Weekend,Scotiabank Theatre Toronto,Scotiabank 6,Tue Sep 13,20:10,Tue Sep 13,21:40,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"Palestine,United Kingdom","English, Arabic, Hebrew",Discovery,Basil Khalil,
A Gaza Weekend,Scotiabank Theatre Toronto,Scotiabank 3,Sat Sep 17,19:15,Sat Sep 17,21:15,No,General Public,No,"Palestine,United Kingdom","English, Arabic, Hebrew",Discovery,Basil Khalil,
A Jazzman's Blues,Roy Thomson Hall,Roy Thomson Hall,Sun Sep 11,18:00,Sun Sep 11,20:37,Yes,General Public,No,United States of America,English,Gala Presentations,Tyler Perry,
A Jazzman's Blues,TIFF Bell Lightbox,TIFF Bell Lightbox 3,Mon Sep 12,12:30,Mon Sep 12,15:07,No,General Public,No,United States of America,English,Gala Presentations,Tyler Perry,
A Jazzman's Blues,TIFF Bell Lightbox,TIFF Bell Lightbox 3,Tue Sep 13,09:30,Tue Sep 13,11:37,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,United States of America,English,Gala Presentations,Tyler Perry,
A Jazzman's Blues,TIFF Bell Lightbox,TIFF Bell Lightbox 3,Sun Sep 18,09:00,Sun Sep 18,11:37,No,General Public,No,United States of America,English,Gala Presentations,Tyler Perry,
A Long Break,Scotiabank Theatre Toronto,Scotiabank 9,Fri Sep 09,21:45,Sat Sep 10,00:05,No,General Public,No,Georgia,Georgian,Discovery,Davit Pirtskhalava,
A Long Break,Scotiabank Theatre Toronto,Scotiabank 5,Sat Sep 10,12:25,Sat Sep 10,14:15,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,Georgia,Georgian,Discovery,Davit Pirtskhalava,
A Long Break,Scotiabank Theatre Toronto,Scotiabank 7,Tue Sep 13,21:40,Wed Sep 14,00:00,No,General Public,No,Georgia,Georgian,Discovery,Davit Pirtskhalava,
A Long Break,Scotiabank Theatre Toronto,Scotiabank 6,Thu Sep 15,11:10,Thu Sep 15,13:00,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,Georgia,Georgian,Discovery,Davit Pirtskhalava,
A Man of Reason,Scotiabank Theatre Toronto,Scotiabank 14,Fri Sep 09,15:45,Fri Sep 09,17:28,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,South Korea,Korean,Special Presentations,Jung Woo-sung,
A Man of Reason,Royal Alexandra Theatre,Royal Alexandra Theatre,Tue Sep 13,21:00,Tue Sep 13,23:13,No,General Public,No,South Korea,Korean,Special Presentations,Jung Woo-sung,
A Man of Reason,Scotiabank Theatre Toronto,Scotiabank 2,Thu Sep 15,11:30,Thu Sep 15,13:13,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,South Korea,Korean,Special Presentations,Jung Woo-sung,
A Man of Reason,Scotiabank Theatre Toronto,Scotiabank 1,Thu Sep 15,13:00,Thu Sep 15,15:13,No,General Public,No,South Korea,Korean,Special Presentations,Jung Woo-sung,
